Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J3374,"Injection, vancomycin hydrochloride (mylan) not therapeutically equivalent to j3373, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3391,"Injection, atidarsagene autotemcel, per treatment",Included rule,,,,,,,Yes
,,,HCPCS,J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3263,"Injection, toripalimab-tpzi, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3230,"Injection, chlorpromazine hcl, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3570,"Laetrile, amygdalin, vitamin b17",Included rule,,,,,,,Yes
,,,HCPCS,J7131,"Hypertonic saline solution, 1 ml",Included rule,,,,,,,Yes
,,,HCPCS,J7175,"Injection, factor x, (human), 1 i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7040,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Included rule,,,,,,,Yes
,,,HCPCS,J3415,"Injection, pyridoxine hcl, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3485,"Injection, zidovudine, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3480,"Injection, potassium chloride, per 2 meq",Included rule,,,,,,,Yes
,,,HCPCS,J9329,"Injection, tislelizumab-jsgr, 1mg",Included rule,,,,,,,Yes
,,,HCPCS,J9304,"Injection, pemetrexed (pemfexy), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9331,"Injection, sirolimus protein-bound particles, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9302,"Injection, ofatumumab, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9275,"Injection, cosibelimab-ipdl, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Included rule,,,,,,,Yes
,,,HCPCS,J0583,"Injection, bivalirudin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0577,"Injection, buprenorphine extended-release (brixadi), less than or equal to 7 days of therapy",Included rule,,,,,,,Yes
,,,HCPCS,J0588,"Injection, incobotulinumtoxin a, 1 unit",Included rule,,,,,,,Yes
,,,HCPCS,J0461,"Injection, atropine sulfate, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0491,"Injection, anifrolumab-fnia, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Included rule,,,,,,,Yes
,,,HCPCS,J0402,"Injection, aripiprazole (abilify asimtufii), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0282,"Injection, amiodarone hydrochloride, 30 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0348,"Injection, anidulafungin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0248,"Injection, remdesivir, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0209,"Injection, sodium thiosulfate (hope), 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0184,"Injection, amisulpride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9393,"Injection, fulvestrant (teva), not therapeutically equivalent to j9395, 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9357,"Injection, valrubicin, intravesical, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8498,"Antiemetic drug, rectal/suppository, not otherwise specified",Included rule,,,,,,,Yes
,,,HCPCS,J9027,"Injection, clofarabine, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8565,"Gefitinib, oral, 250 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8522,"Capecitabine, oral, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7676,"Pentamidine isethionate, inhalation solution, compounded product, administered through dme, unit dose form, per 300 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Included rule,,,,,,,Yes
,,,HCPCS,J7680,"Terbutaline sulfate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7677,"Revefenacin inhalation solution, fda-approved final product, non-compounded, administered through dme, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J7640,"Formoterol, inhalation solution, compounded product, administered through dme, unit dose form, 12 micrograms",Included rule,,,,,,,Yes
,,,HCPCS,J7627,"Budesonide, inhalation solution, compounded product, administered through dme, unit dose form, up to 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7607,"Levalbuterol, inhalation solution, compounded product, administered through dme, concentrated form, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0737,"Injection, clindamycin phosphate (baxter), not therapeutically equivalent to j0736, 300 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0872,"Injection, daptomycin (xellia), unrefrigerated, not therapeutically equivalent to j0878 or j0873, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Included rule,,,,,,,Yes
,,,HCPCS,J0630,"Injection, calcitonin salmon, up to 400 units",Included rule,,,,,,,Yes
,,,HCPCS,J0651,"Injection, levothyroxine sodium (fresenius kabi), not therapeutically equivalent to j0650, 10 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J0692,"Injection, cefepime hydrochloride, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5126,"Injection, bevacizumab-maly, biosimilar, (alymsys), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9992,"Injection, buprenorphine extended-release (sublocade), greater than 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5145,"Injection, adalimumab-afzb (abrilada), biosimilar, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9991,"Injection, buprenorphine extended-release (sublocade), less than or equal to 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8670,"Rolapitant, oral, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9960,"High osmolar contrast material, 200-249 mg/ml iodine concentration, per ml",Included rule,,,,,,,Yes
,,,HCPCS,J9047,"Injection, carfilzomib, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9267,"Injection, paclitaxel, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9266,"Injection, pegaspargase, per single dose vial",Included rule,,,,,,,Yes
,,,HCPCS,J9213,"Injection, interferon, alfa-2a, recombinant, 3 million units",Included rule,,,,,,,Yes
,,,HCPCS,J9172,"Injection, docetaxel (docivyx), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9071,"Injection, cyclophosphamide (auromedics), 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2820,"Injection, sargramostim (gm-csf), 50 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J2850,"Injection, secretin, synthetic, human, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J3060,"Injection, taliglucerase alfa, 10 units",Included rule,,,,,,,Yes
,,,HCPCS,J2690,"Injection, procainamide hcl, up to 1 gm",Included rule,,,,,,,Yes
,,,HCPCS,J2650,"Injection, prednisolone acetate, up to 1 ml",Included rule,,,,,,,Yes
,,,HCPCS,J2794,"Injection, risperidone (risperdal consta), 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2561,"Injection, phenobarbital sodium (sezaby), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Included rule,,,,,,,Yes
,,,HCPCS,J2590,"Injection, oxytocin, up to 10 units",Included rule,,,,,,,Yes
,,,HCPCS,J2440,"Injection, papaverine hcl, up to 60 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2506,"Injection, pegfilgrastim, excludes biosimilar, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0122,"Injection, menotropins, 75 iu",Included rule,,,,,,,Yes
,,,HCPCS,S0140,"Saquinavir, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0109,"Methadone, oral, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0014,"Tacrine hydrochloride, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0040,"Injection, ticarcillin disodium and clavulanate potassium, 3.1 grams",Included rule,,,,,,,Yes
,,,HCPCS,Q4189,"Artacent ac, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q4112,"Cymetra, injectable, 1 cc",Included rule,,,,,,,Yes
,,,HCPCS,Q2009,"Injection, fosphenytoin, 50 mg phenytoin equivalent",Included rule,,,,,,,Yes
,,,HCPCS,Q3028,"Injection, interferon beta-1a, 1 mcg for subcutaneous use",Included rule,,,,,,,Yes
,,,HCPCS,Q0175,"Perphenazine, 4 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Included rule,,,,,,,Yes
,,,HCPCS,J7296,"Levonorgestrel-releasing intrauterine contraceptive system, (kyleena), 19.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3358,"Ustekinumab, for intravenous injection, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2513,"Injection, pentastarch, 10% solution, 100 ml",Included rule,,,,,,,Yes
,,,HCPCS,J2504,"Injection, pegademase bovine, 25 iu",Included rule,,,,,,,Yes
,,,HCPCS,J0889,"Daprodustat, oral, 1 mg, (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J9212,"Injection, interferon alfacon-1, recombinant, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,A2033,"Myriad morcells, 4 milligrams",Included rule,,,,,,,Yes
,,,HCPCS,A2028,"Micromatrix flex, per mg",Included rule,,,,,,,Yes
,,,HCPCS,A9575,"Injection, gadoterate meglumine, 0.1 ml",Included rule,,,,,,,Yes
,,,HCPCS,A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Included rule,,,,,,,Yes
,,,HCPCS,J1303,"Injection, ravulizumab-cwvz, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9317,"Injection, sacituzumab govitecan-hziy, 2.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0691,"Injection, lefamulin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0791,"Injection, crizanlizumab-tmca, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0883,"Injection, argatroban, 1 mg (for non-esrd use)",Included rule,,,,,,,Yes
,,,HCPCS,J3090,"Injection, tedizolid phosphate, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2547,"Injection, peramivir, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2781,"Injection, pegcetacoplan, intravitreal, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9254,"Injection, lacosamide, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9269,"Injection, tagraxofusp-erzs, 10 micrograms",Included rule,,,,,,,Yes
,,,HCPCS,J9229,"Injection, inotuzumab ozogamicin, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9313,"Injection, moxetumomab pasudotox-tdfk, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9176,"Injection, elotuzumab, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9205,"Injection, irinotecan liposome, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7203,"Injection factor ix, (antihemophilic factor, recombinant), glycopegylated, (rebinyn), 1 iu",Included rule,,,,,,,Yes
,,,HCPCS,J7318,"Hyaluronan or derivative, durolane, for intra-articular injection, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9950,"Injection, sulfur hexafluoride lipid microspheres, per ml",Included rule,,,,,,,Yes
,,,HCPCS,J2427,"Injection, paliperidone palmitate extended release (invega hafyera, or invega trinza), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2402,"Injection, chloroprocaine hydrochloride (clorotekal), per 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2430,"Injection, pamidronate disodium, per 30 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2325,"Injection, nesiritide, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2358,"Injection, olanzapine, long-acting, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2020,"Injection, linezolid, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2002,"Injection, lidocaine hcl in 5% dextrose, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2253,"Injection, midazolam (seizalam), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2180,"Injection, meperidine and promethazine hcl, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2305,"Injection, nitroglycerin, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2265,"Injection, minocycline hydrochloride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7315,"Mitomycin, ophthalmic, 0.2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7501,"Azathioprine, parenteral, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7356,"Injection, foscarbidopa 0.25 mg/foslevodopa 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7345,"Aminolevulinic acid hcl for topical administration, 10% gel, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7204,"Injection, factor viii, antihemophilic factor (recombinant), (esperoct), glycopegylated-exei, per iu",Included rule,,,,,,,Yes
,,,HCPCS,J7197,"Antithrombin iii (human), per i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Included rule,,,,,,,Yes
,,,HCPCS,J7657,"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7668,"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 10 milligrams",Included rule,,,,,,,Yes
,,,HCPCS,J7667,"Metaproterenol sulfate, inhalation solution, compounded product, concentrated form, per 10 milligrams",Included rule,,,,,,,Yes
,,,HCPCS,J7643,"Glycopyrrolate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7650,"Isoetharine hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7648,"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7622,"Beclomethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7612,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7629,"Bitolterol mesylate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7633,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 0.25 milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7624,"Betamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J0703,"Injection, cefepime hydrochloride (b braun), not therapeutically equivalent to maxipime, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0770,"Injection, colistimethate sodium, up to 150 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0879,"Injection, difelikefalin, 0.1 microgram, (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0841,"Injection, crotalidae immune f(ab')2 (equine), 120 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0881,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",Included rule,,,,,,,Yes
,,,HCPCS,J0652,"Injection, levothyroxine sodium (hikma), not therapeutically equivalent to j0650, 10 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J0637,"Injection, caspofungin acetate, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0618,"Injection, calcium chloride, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0666,"Injection, bupivacaine liposome, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9038,"Injection, axatilimab-csfr, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9048,"Injection, bortezomib (fresenius kabi), not therapeutically equivalent to j9041, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9045,"Injection, carboplatin, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9042,"Injection, brentuximab vedotin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9255,"Injection, methotrexate (accord), not therapeutically equivalent to j9260, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9216,"Injection, interferon, gamma 1-b, 3 million units",Included rule,,,,,,,Yes
,,,HCPCS,J9218,"Leuprolide acetate, per 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9190,"Injection, fluorouracil, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9207,"Injection, ixabepilone, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9063,"Injection, mirvetuximab soravtansine-gynx, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9055,"Injection, cetuximab, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3101,"Injection, tenecteplase, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3095,"Injection, telavancin, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3010,"Injection, fentanyl citrate, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2783,"Injection, rasburicase, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2675,"Injection, progesterone, per 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2730,"Injection, pralidoxime chloride, up to 1 gm",Included rule,,,,,,,Yes
,,,HCPCS,J2469,"Injection, palonosetron hcl, 25 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J2597,"Injection, desmopressin acetate, per 1 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J2550,"Injection, promethazine hcl, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2460,"Injection, oxytetracycline hcl, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2508,"Injection, pegunigalsidase alfa-iwxj, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0132,"Injection, ganirelix acetate, 250 mcg",Included rule,,,,,,,Yes
,,,HCPCS,S0137,"Didanosine (ddi), 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0172,"Chlorambucil, oral, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0179,"Megestrol acetate, oral, 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0177,"Levamisole hydrochloride, oral, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0021,"Injection, cefoperazone sodium, 1 gram",Included rule,,,,,,,Yes
,,,HCPCS,J1452,"Injection, fomivirsen sodium, intraocular, 1.65 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0172,"Injection, aducanumab-avwa, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8562,"Fludarabine phosphate, oral, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9019,"Injection, asparaginase (erwinaze), 1,000 iu",Included rule,,,,,,,Yes
,,,HCPCS,J9020,"Injection, asparaginase, not otherwise specified, 10,000 units",Included rule,,,,,,,Yes
,,,HCPCS,J9272,"Injection, dostarlimab-gxly, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7209,"Injection, factor viii, (antihemophilic factor, recombinant), (nuwiq), 1 i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7210,"Injection, factor viii, (antihemophilic factor, recombinant), (afstyla), 1 i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J0875,"Injection, dalbavancin, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7172,"Injection, marstacimab-hncq, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0567,"Injection, cerliponase alfa, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",Included rule,,,,,,,Yes
,,,HCPCS,J2182,"Injection, mepolizumab, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9488,"Injection, conivaptan hydrochloride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2062,"Loxapine for inhalation, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2406,"Injection, oritavancin (kimyrsa), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2151,"Injection, mannitol, 250 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1932,"Injection, lanreotide, (cipla), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1955,"Injection, levocarnitine, per 1 gm",Included rule,,,,,,,Yes
,,,HCPCS,J2252,"Injection, midazolam in 0.8% sodium chloride, intravenous, not therapeutically equivalent to j2250, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2248,"Injection, micafungin sodium, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2210,"Injection, methylergonovine maleate, up to 0.2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2212,"Injection, methylnaltrexone, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2277,"Injection, motixafortide, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1414,"Injection, fidanacogene elaparvovec-dzkt, per therapeutic dose",Included rule,,,,,,,Yes
,,,HCPCS,J1413,"Injection, delandistrogene moxeparvovec-rokl, per therapeutic dose",Included rule,,,,,,,Yes
,,,HCPCS,J1450,"Injection fluconazole, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1171,"Injection, hydromorphone, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0911,"Instillation, taurolidine 1.35 mg and heparin sodium 100 units (central venous catheter lock for adult patients receiving chronic hemodialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J1010,"Injection, methylprednisolone acetate, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1240,"Injection, dimenhydrinate, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1202,"Miglustat, oral, 65 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1290,"Injection, ecallantide, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0893,"Injection, decitabine (sun pharma), not therapeutically equivalent to j0894, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0137,"Injection, acetaminophen (hikma), not therapeutically equivalent to j0131, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1812,"Insulin (fiasp), per 5 units",Included rule,,,,,,,Yes
,,,HCPCS,J1756,"Injection, iron sucrose, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1830,"Injection, interferon beta-1b, 0.25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Included rule,,,,,,,Yes
,,,HCPCS,J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1626,"Injection, granisetron hydrochloride, 100 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9280,"Injection, mitomycin, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9320,"Injection, streptozocin, 1 gram",Included rule,,,,,,,Yes
,,,HCPCS,J9324,"Injection, pemetrexed (pemrydi rtu), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9274,"Injection, tebentafusp-tebn, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J9286,"Injection, glofitamab-gxbm, 2.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9361,"Injection, efbemalenograstim alfa-vuxw, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9395,"Injection, fulvestrant, 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9600,"Injection, porfimer sodium, 75 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9359,"Injection, loncastuximab tesirine-lpyl, 0.075 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9015,"Injection, aldesleukin, per single use vial",Included rule,,,,,,,Yes
,,,HCPCS,J8541,"Dexamethasone (hemady), oral, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8501,"Aprepitant, oral, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7634,"Budesonide, inhalation solution, compounded product, administered through dme, concentrated form, per 0.25 milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7636,"Atropine, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J0713,"Injection, ceftazidime, per 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0701,"Injection, cefepime hydrochloride (baxter), not therapeutically equivalent to maxipime, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Included rule,,,,,,,Yes
,,,HCPCS,J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0745,"Injection, codeine phosphate, per 30 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0892,"Injection, argatroban (accord), not therapeutically equivalent to j0884, 1 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0877,"Injection, daptomycin (hospira), not therapeutically equivalent to j0878, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0615,"Calcium acetate, oral, 23 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0641,"Injection, levoleucovorin, not otherwise specified, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0609,"Ferric citrate, oral, 3 mg ferric iron, (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0688,"Injection, cefazolin sodium (hikma), not therapeutically equivalent to j0690, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5133,"Injection, tocilizumab-bavi (tofidence), biosimilar, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5124,"Injection, ranibizumab-nuna, biosimilar, (byooviz), 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9998,"Injection, ustekinumab-aekn (selarsdi), biosimilar, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1726,"Injection, hydroxyprogesterone caproate, (makena), 10 mg",Included rule,,,,,,,Yes
