Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J7214,"Injection, factor viii/von willebrand factor complex, recombinant (altuviiio), per factor viii i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Included rule,,,,,,,Yes
,,,HCPCS,J7320,"Hyaluronan or derivitive, genvisc 850, for intra-articular injection, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5107,"Injection, bevacizumab-awwb, biosimilar, (mvasi), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5103,"Injection, infliximab-dyyb, biosimilar, (inflectra), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1411,"Injection, etranacogene dezaparvovec-drlb, per therapeutic dose",Included rule,,,,,,,Yes
,,,HCPCS,J0132,"Injection, acetylcysteine, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0168,"Injection, epinephrine (international medication systems), not therapeutically equivalent to j0165, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0175,"Injection, donanemab-azbt, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0179,"Injection, brolucizumab-dbll, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1786,"Injection, imiglucerase, 10 units",Included rule,,,,,,,Yes
,,,HCPCS,J1749,"Injection, iloprost, 0.1 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J1826,"Injection, interferon beta-1a, 30 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J1815,"Injection, insulin, per 5 units",Included rule,,,,,,,Yes
,,,HCPCS,J1836,"Injection, metronidazole, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1747,"Injection, spesolimab-sbzo, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1652,"Injection, fondaparinux sodium, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1644,"Injection, heparin sodium, per 1000 units",Included rule,,,,,,,Yes
,,,HCPCS,J1740,"Injection, ibandronate sodium, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1559,"Injection, immune globulin (hizentra), 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1558,"Injection, immune globulin (xembify), 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1598,"Injection, glycopyrrolate (fresenius kabi), not therapeutically equivalent to j1596, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3350,"Injection, urea, up to 40 gm",Included rule,,,,,,,Yes
,,,HCPCS,J3290,"Injection, tranexamic acid, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3402,"Injection, remestemcel-l-rknd, per therapeutic dose",Included rule,,,,,,,Yes
,,,HCPCS,J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Included rule,,,,,,,Yes
,,,HCPCS,J3472,"Injection, hyaluronidase, ovine, preservative free, per 1000 usp units",Included rule,,,,,,,Yes
,,,HCPCS,J9305,"Injection, pemetrexed, not otherwise specified, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9306,"Injection, pertuzumab, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0589,"Injection, daxibotulinumtoxina-lanm, 1 unit",Included rule,,,,,,,Yes
,,,HCPCS,J0594,"injection, busulfan, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0360,"Injection, hydralazine hcl, up to 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0400,"Injection, aripiprazole, intramuscular, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0462,"Injection, atropine sulfate, not therapeutically equivalent to j0461, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0500,"Injection, dicyclomine hcl, up to 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0485,"Injection, belatacept, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Included rule,,,,,,,Yes
,,,HCPCS,J0218,"Injection, olipudase alfa-rpcp, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0222,"Injection, patisiran, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0207,"Injection, amifostine, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9177,"Injection, enfortumab vedotin-ejfv, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,G9518,Documentation of active injection drug use,Included rule,,,,,,,Yes
,,,HCPCS,J3110,"Injection, teriparatide, 10 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J2997,"Injection, alteplase recombinant, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2799,"Injection, risperidone (uzedy), 1 mg",Included rule,,,,,,,Yes
